TOTAL_VALUE,princ_1,princ_2,LOT_SQFT,GROSS_AREA,LIVING_AREA,FLOORS,ROOMS,BEDROOMS,FULL_BATH,HALF_BATH,KITCHEN,FIREPLACE,YR_BUILT_CAT_0,YR_BUILT_CAT_1,YR_BUILT_CAT_2,REMODEL_Unknown,REMODEL_Recent,REMODEL_Old
344.0,0.2972458932600468,-0.4043499518134574,5683,3136,1870,2.0,9,4,2,0,1,1,0,1,0,1,0,0
358.3,-0.28958895946957175,0.07850623995612183,6138,2500,1690,2.0,7,3,1,1,1,0,0,1,0,1,0,0
346.2,0.4683738212469951,1.8581774394720836,11250,2830,1391,1.5,6,3,1,0,1,0,1,0,0,0,0,1
490.7,1.8813909527329318,-1.2172770884038329,5683,4100,2640,2.0,6,3,1,1,1,1,0,0,1,0,1,0
371.9,-0.4923536151810302,0.5472046668651297,7001,2320,1500,2.0,7,3,2,1,1,1,0,0,1,1,0,0
325.3,-0.6023778895647909,-0.35339848679073527,4717,2592,1572,2.0,7,3,1,1,1,0,0,1,0,1,0,0
340.5,-0.4071208415473247,1.1361639654843667,8489,2368,1326,1.5,6,3,1,1,1,1,0,1,0,1,0,0
432.5,-0.45458039589007027,0.5863872043314626,7139,2340,1500,2.0,7,3,2,1,1,0,0,0,1,1,0,0
334.7,0.014773995470402776,-0.7131040211168619,4584,3288,1694,2.0,7,3,1,1,1,0,0,1,0,1,0,0
314.3,-0.14986154650059524,0.4620635924867786,7193,2740,1508,2.0,7,3,1,0,1,0,1,0,0,1,0,0
405.5,-0.8760346562608201,-0.5742471216471897,3867,2431,1560,2.0,7,3,2,1,1,1,0,0,1,1,0,0
326.0,-1.3548757519787116,-0.1626248799782921,4262,2090,1300,2.0,7,3,1,1,1,1,0,1,0,1,0,0
285.6,-0.405679141452538,-0.18100863802821024,5325,3060,1364,1.0,5,2,1,0,1,1,0,1,0,1,0,0
345.9,-0.12800459245345414,0.7850562835226838,8005,2490,1562,2.0,7,3,1,1,1,1,1,0,0,1,0,0
317.3,-0.5446112035683677,0.6731525251019825,7234,2289,1440,2.0,7,3,1,0,1,0,0,1,0,1,0,0
277.8,-1.4325374989714135,0.5986943029063414,5959,2036,1018,1.0,5,3,1,1,1,1,0,1,0,1,0,0
306.8,-1.0765411313830133,1.1835424352451622,7785,2038,1056,1.5,6,3,1,0,1,0,1,0,0,1,0,0
265.7,-1.4838670660601874,-0.2410048072634885,3887,2364,1075,1.0,6,3,2,0,1,1,0,1,0,0,0,1
356.8,-0.004221272536210154,-0.17954158125667924,5906,2368,2051,1.0,8,4,1,1,1,2,0,0,1,1,0,0
299.9,-0.7880605249370998,0.004063830717039584,5401,1800,1800,2.0,6,3,1,1,1,1,0,0,1,1,0,0
287.8,-1.1615642087101188,-0.7290546963809431,3204,1800,1800,2.0,6,3,1,1,1,1,0,0,1,1,0,0
296.0,-1.2052558094063708,-0.8148132132057867,2947,1800,1800,2.0,6,3,1,1,1,1,0,0,1,1,0,0
300.6,-0.9852677498695995,-0.3830174125390641,4241,1800,1800,2.0,6,3,1,1,1,1,0,0,1,1,0,0
566.3,2.6041323510399783,-0.5031566939145101,8249,4390,2708,2.0,8,4,2,1,1,1,0,0,1,1,0,0
286.0,-0.09662375093512912,0.6414194062915894,7655,3013,1318,1.5,7,3,1,0,1,0,0,1,0,1,0,0
351.2,-0.170912106757908,1.6457549313103983,10000,2232,1392,2.0,7,3,1,1,1,0,1,0,0,1,0,0
365.1,0.22845029313483817,-0.6235292793512972,5058,3362,1763,2.0,8,4,2,0,1,0,0,1,0,0,1,0
330.0,-0.5069688418184748,0.2834096772138006,6330,2644,1386,1.5,6,3,1,0,1,0,0,1,0,1,0,0
354.1,-0.7904773303887368,-0.14486092237497333,4984,2441,1464,2.0,7,3,1,1,1,1,0,1,0,0,1,0
335.8,-0.4064254739747612,0.11991596840320146,6111,2262,1740,1.0,7,3,1,1,1,1,0,0,1,1,0,0
345.0,0.5517909380856614,5.489149307166904,20000,1754,845,1.5,6,3,1,0,1,0,1,0,0,1,0,0
356.4,0.5250186668778246,-0.3933627332495124,5967,3442,1836,2.0,8,3,2,0,1,0,0,1,0,0,0,1
379.0,1.8807491059029486,-0.2657242758237287,7940,3894,2436,2.0,8,4,2,0,1,1,1,0,0,1,0,0
352.1,-0.9378497903882426,0.35682149321873197,6003,2178,1350,2.0,7,3,2,0,1,0,0,0,1,1,0,0
437.3,-0.06305863504161167,0.3284593039024182,7000,2628,1680,2.0,6,3,2,1,1,0,0,0,1,1,0,0
404.2,0.8666452567249224,-0.7668906757947984,5488,3780,1992,1.5,8,4,2,1,1,1,0,1,0,0,1,0
283.4,-0.3275805919483204,-0.45456540654565686,4774,3128,1470,1.0,5,2,1,0,1,1,0,1,0,1,0,0
326.4,-0.715846726898634,0.2669436254591302,6029,2620,1265,1.5,6,3,1,1,1,0,0,1,0,1,0,0
309.2,-1.197783147297088,0.09735393353679381,5057,2244,1224,1.5,7,3,2,0,1,0,0,1,0,1,0,0
332.9,-0.6131674566786799,0.058269859725443546,5682,2484,1488,2.0,7,3,1,1,1,0,0,1,0,1,0,0
260.4,-1.160846326142632,-0.43960616116162987,3819,2468,1299,1.5,6,3,1,0,1,0,0,1,0,1,0,0
339.3,-0.8512836646785646,0.17214065129680567,5651,2454,1306,1.5,6,3,2,1,1,1,0,1,0,0,1,0
307.9,-1.1570109259017936,0.046239833599337275,5005,2078,1369,2.0,6,3,1,0,1,0,0,1,0,0,0,1
346.3,0.001731174359670409,0.7820464825987979,8145,2664,1546,1.5,6,3,1,0,1,1,0,1,0,0,1,0
479.1,0.8409496709420824,0.978654224885873,9642,2952,1872,2.0,7,4,2,1,1,1,0,0,1,1,0,0
335.6,-0.5942243977626461,0.39379598454995335,6475,2684,1265,1.5,6,3,1,1,1,0,0,1,0,1,0,0
261.5,-2.3839912795553566,0.3315363066631886,4175,1536,768,1.0,4,2,1,0,1,0,0,1,0,1,0,0
355.1,-0.8489301075647901,0.0724141609819691,5400,2650,1224,1.5,7,3,2,0,1,1,0,1,0,0,1,0
356.8,-0.3793212850428284,-0.3482405489159961,5005,2660,1680,2.0,6,3,2,1,1,1,0,0,1,1,0,0
287.3,-0.802368110132284,-0.8461093018691023,3288,2764,1503,1.5,7,3,2,1,1,1,0,1,0,1,0,0
331.9,-0.9305105582716198,0.11155482323874288,5400,2536,1224,1.5,6,3,1,0,1,1,0,1,0,1,0,0
387.1,1.390262009673495,0.1286511809348771,8238,3972,1922,1.0,9,4,2,0,1,1,0,0,1,1,0,0
307.6,-0.8854896173128288,-0.04357629218668164,5092,2539,1306,1.5,6,3,2,0,1,0,0,1,0,0,0,1
360.9,-0.6996822869200339,-0.014027540345113334,5400,2508,1440,2.0,6,3,3,0,1,0,0,1,0,0,1,0
466.1,0.7267054854639445,0.7544140563788887,8970,2952,1872,2.0,7,4,2,1,1,1,0,0,1,1,0,0
340.0,-0.62659552200762,-0.04469737125420415,5400,2714,1376,1.5,6,3,1,0,1,1,0,1,0,0,1,0
303.9,-0.31005544765761256,0.9710958998330937,8200,2608,1304,1.0,6,2,2,0,1,1,0,1,0,0,1,0
303.5,-0.47417767803334404,-0.6390721782516798,4200,2670,1710,2.0,10,4,1,1,1,1,0,1,0,1,0,0
301.4,-0.21220408499480017,0.18328255293314885,6444,2886,1474,1.5,6,3,1,1,1,1,0,1,0,1,0,0
339.9,-0.12432994082197764,-0.44733930834396685,5035,3264,1523,1.0,6,2,1,0,1,0,0,1,0,0,1,0
281.3,-0.6651417878779822,-0.6416182807262168,3960,2590,1630,2.0,8,4,2,1,1,1,0,1,0,1,0,0
530.1,1.5852580454800311,-0.8299990287380803,6227,4013,2359,2.0,8,4,2,1,1,0,0,0,1,1,0,0
310.4,-0.9103537903462225,-0.8596412568697627,3150,2456,1620,2.0,7,4,1,1,1,1,0,1,0,0,0,1
344.6,1.9318471111481381,-0.17652133764533456,8151,4532,2056,1.0,5,2,1,2,1,1,0,0,1,1,0,0
525.1,1.8265828134688222,-0.9425963639941642,6257,4124,2494,2.0,9,4,2,0,1,1,0,0,1,1,0,0
285.3,-0.8848845350361959,-0.07210402704319174,5024,2556,1306,1.5,6,3,2,0,1,0,0,1,0,1,0,0
302.3,-1.1747800998434037,-0.2783485803822611,4200,2272,1352,2.0,8,3,1,0,1,1,0,1,0,0,1,0
243.3,-1.1140120106462306,-0.748193471113942,3150,2496,1420,1.5,4,2,1,0,1,1,0,0,1,1,0,0
334.9,0.4358612265130328,-0.33705149768543047,6012,3185,1911,2.0,7,3,1,1,1,0,0,1,0,1,0,0
327.5,0.36694325176756243,-0.3173121165661258,5968,3216,1839,2.0,7,3,1,1,1,0,0,1,0,1,0,0
586.6,3.076722527038507,-0.46824978010851737,8890,4791,2774,2.0,9,4,3,1,1,1,0,0,1,1,0,0
347.3,0.9811867597331476,-0.04573767385377561,7355,3516,1980,2.0,7,3,1,1,1,0,0,1,0,1,0,0
267.6,-2.57752074654374,0.7915312466972937,5077,876,876,1.0,5,2,1,0,1,0,0,1,0,1,0,0
274.2,-0.8110999007665476,-0.7006301760599064,3617,2784,1435,1.5,5,2,1,1,1,1,0,1,0,1,0,0
404.6,0.49013633132019524,-0.2683721321599326,6253,3077,1989,1.0,6,4,3,0,1,1,0,1,0,0,1,0
339.9,-0.8885657571858412,0.4376192167502074,6300,1730,1625,1.0,7,4,1,1,1,1,0,1,0,1,0,0
420.8,2.598376038645731,-0.6738773706216128,7861,4182,2888,1.0,12,4,2,1,1,0,0,0,1,1,0,0
283.5,-0.866899873995087,-0.4351295271481376,4200,2488,1484,2.0,6,3,1,1,1,0,0,1,0,1,0,0
620.3,4.285858829218166,-2.1887246362028283,6255,6016,3446,2.0,10,4,3,1,1,2,0,0,1,1,0,0
346.3,-1.0885276968369457,-0.36814516946943415,4050,2756,1150,1.0,6,3,1,1,1,1,0,1,0,0,1,0
295.07,-1.1700217026148014,0.09676849052990524,5131,1840,1486,1.5,6,4,2,0,1,0,0,1,0,0,0,1
297.6,-0.5590328943980905,-0.833826454756996,3628,2736,1680,2.0,7,3,1,1,1,1,0,0,1,1,0,0
310.7,-0.1359689319889931,-0.07846206681960657,6001,2124,2074,1.0,10,4,2,0,2,2,0,0,1,1,0,0
442.6,1.2153024723277777,-1.2397839012184217,4800,3960,2282,2.0,6,3,2,1,1,1,0,0,1,1,0,0
277.5,-1.710200552581752,-0.0605380860697423,4050,2108,1014,1.0,6,3,1,1,1,1,0,1,0,1,0,0
310.6,-0.8236195695312041,-0.6845262854649217,3639,2784,1421,1.5,7,3,1,1,1,1,0,1,0,0,0,1
327.1,-0.4446585798376787,0.43274256857543436,6754,2705,1340,1.0,6,3,1,0,1,1,0,1,0,1,0,0
307.5,-1.49608257758186,-0.9995291353240833,2100,2244,1400,2.0,6,3,1,1,1,1,0,0,1,1,0,0
243.3,-1.2753424647421594,-0.21416625034309072,4200,2508,1120,1.0,6,3,1,1,1,1,0,1,0,1,0,0
352.8,-0.5384986555833843,0.13169707180725834,6001,1964,1826,1.0,8,3,1,1,1,1,0,0,1,0,1,0
258.6,-1.3365889613099518,0.34118886153254424,5460,2188,1080,1.0,6,2,1,0,1,1,0,1,0,1,0,0
295.5,-0.9306337632587723,-0.4601774515625394,4050,2592,1387,1.5,6,3,1,1,1,1,0,1,0,1,0,0
490.7,1.946596508825478,-1.1015740592875165,6011,4368,2483,2.0,9,3,2,1,1,1,0,0,1,1,0,0
330.3,-0.6318075880910622,0.33419757080357887,6317,2385,1440,2.0,6,3,1,1,1,0,0,0,1,1,0,0
290.8,-0.44043295861503956,0.4654972408586133,6850,2568,1414,1.5,6,2,1,1,1,1,0,1,0,1,0,0
350.7,1.354767125728367,0.7309034216446869,9600,4063,1636,1.0,9,3,2,0,2,0,0,1,0,1,0,0
301.1,-0.5937597622318883,0.1667238144204428,6000,2098,1696,1.0,7,5,1,1,1,2,0,0,1,1,0,0
278.7,-0.5538424636420739,0.3180018649242879,6400,2161,1633,1.0,8,4,2,0,1,1,0,0,1,0,0,1
298.2,-0.8647161679692565,0.2631997314060381,5824,2696,1120,1.0,6,3,1,0,1,0,0,1,0,1,0,0
249.0,-1.8093579750058981,0.051109865485421825,4200,1976,988,1.0,5,2,1,0,1,1,0,1,0,1,0,0
287.5,-0.3168506336217826,0.02803029354174681,6000,2347,1781,1.0,8,4,1,1,1,0,0,0,1,1,0,0
434.3,2.1418928043439522,1.8557396095990881,13267,3813,1931,1.5,6,2,1,1,1,1,0,1,0,0,1,0
508.8,1.1310598743925946,-1.5777324092678142,3911,3836,2416,2.0,7,4,3,1,1,1,0,0,1,1,0,0
338.8,-0.18801731300585228,1.8777784995910485,10537,2100,1380,2.0,7,3,1,1,1,1,0,1,0,1,0,0
363.5,0.5626270619508137,0.19822524560441168,7468,2815,2035,2.0,10,4,2,1,1,0,0,0,1,0,1,0
335.3,1.4726956868052925,-0.721531404728052,6400,3404,2612,1.0,7,4,1,1,1,1,0,0,1,0,0,1
353.5,0.7040294218999452,2.3087326867606484,12600,2910,1347,1.0,6,3,1,1,1,1,0,1,0,1,0,0
291.5,-0.22105120588290544,-0.03489712443621832,6000,2080,2028,1.0,8,4,1,1,1,0,0,0,1,1,0,0
325.8,-0.29632849969277525,-0.43021838329749124,4900,2835,1659,2.0,8,4,2,0,1,1,0,0,1,1,0,0
368.2,0.3839597521954188,0.19779563377274811,7200,3223,1669,2.0,7,3,1,1,1,0,1,0,0,0,1,0
361.7,-0.4077227492508436,0.08474742108960086,6000,2530,1590,2.0,7,4,2,0,1,0,0,0,1,1,0,0
286.3,-0.353347151043259,0.04554058981451401,6000,2296,1781,1.0,8,4,1,1,1,0,0,0,1,1,0,0
315.7,-0.5273645980617871,0.3052983166479666,6400,2198,1633,1.0,8,3,1,1,1,1,0,0,1,0,0,1
282.4,-1.4305889991891736,1.3578932444193312,7770,1800,900,1.0,5,2,1,0,1,1,0,1,0,1,0,0
337.5,-0.909633080565557,0.32136751504631766,5914,2594,1131,1.0,6,3,1,0,1,0,0,1,0,1,0,0
320.1,-0.06343927485044797,-0.39133674475231917,5290,2800,1824,2.0,7,4,2,0,1,0,0,1,0,0,1,0
272.9,-1.0423918394848288,-0.9285819299324083,2800,2663,1430,2.0,6,3,1,1,1,0,0,1,0,1,0,0
243.2,-2.163174837949236,0.5111677630829221,4868,1628,800,1.0,5,2,1,0,1,1,0,1,0,1,0,0
305.0,-0.6144817991725946,0.8047434453067364,7448,2358,1306,1.5,8,3,2,0,1,1,0,0,1,1,0,0
277.7,-1.429001760344032,-0.7345775226847265,2800,2324,1306,1.5,7,3,2,0,1,1,0,1,0,1,0,0
316.9,-1.2782237260038902,-0.1154291905999099,4449,2302,1208,1.5,6,3,1,2,1,0,0,1,0,0,1,0
297.1,0.012017302175729862,-0.14458953257875856,6000,2456,1997,1.0,7,3,1,1,1,0,0,0,1,1,0,0
467.0,1.101272707594567,-1.179854778529922,4800,3924,2206,2.0,9,4,2,2,1,1,0,0,1,1,0,0
302.4,-1.314942737280366,1.1653739103027216,7440,2040,900,1.0,6,3,1,0,1,0,0,1,0,1,0,0
253.2,-0.9473777228483523,-0.39095452351631926,4200,2507,1403,1.5,6,2,2,0,1,1,0,1,0,1,0,0
375.1,-0.5222216274358675,0.13968168390612545,6000,2370,1590,2.0,7,4,2,1,1,0,0,0,1,1,0,0
242.9,-1.4498836034404805,-0.15956393815231823,4151,2068,1248,2.0,7,3,1,0,1,0,0,1,0,1,0,0
307.1,-0.0799571837546414,-0.10128622056107044,6000,2308,2009,1.0,9,3,2,0,1,0,0,0,1,1,0,0
274.1,-1.2936605401385475,0.874640906093567,6781,2064,1000,1.0,5,2,1,0,1,1,0,1,0,1,0,0
237.0,-2.4316816372615593,-0.06776590415244477,3200,1292,1020,2.0,6,3,1,0,1,0,0,1,0,0,0,1
253.0,-0.878395488638539,0.4650208788783467,6300,2507,1155,1.0,6,3,1,0,1,1,0,0,1,1,0,0
299.4,-1.211517432353492,0.5389188500282596,6081,2212,1082,1.0,5,3,1,1,1,1,0,1,0,1,0,0
286.9,-1.4139093804746017,1.4113296920633434,7912,1848,864,1.0,6,3,1,0,1,1,0,1,0,1,0,0
327.5,-0.45352230052485315,0.10672112621621067,6000,2466,1590,2.0,7,3,1,1,1,0,0,0,1,1,0,0
367.5,-0.20999018302934438,-0.4834024014529312,4895,2728,1800,2.0,7,4,2,1,1,1,0,0,1,1,0,0
308.0,-0.6192041070444188,-0.15312506728998232,5160,2658,1452,2.0,7,3,2,0,1,0,0,1,0,1,0,0
516.7,2.2596103031329395,-1.2641495089799193,6000,4623,2597,2.0,11,4,2,1,1,1,0,0,1,1,0,0
348.7,0.1399544963740895,0.212238454361412,7000,2467,1954,1.0,9,4,2,0,1,1,0,0,1,1,0,0
367.1,-0.9392912239089021,0.6769130843058281,6750,2216,1216,1.0,8,3,2,0,2,1,0,1,0,1,0,0
299.4,0.10199518108420993,-1.0431073034519838,3900,3475,1754,2.0,7,3,2,1,1,0,0,1,0,0,0,1
296.5,-1.0189087809082344,1.000876249344681,7416,2164,1082,1.0,6,2,1,1,1,0,0,1,0,1,0,0
360.0,-0.2868372009220182,-0.5922877071881183,4544,2704,1800,2.0,6,3,2,1,1,1,0,0,1,1,0,0
325.9,-0.7109658680153903,-0.8107880726248159,3500,2632,1632,2.0,6,3,2,0,1,1,0,1,0,0,0,1
360.8,-0.45352230052485315,0.10672112621621067,6000,2466,1590,2.0,7,4,1,1,1,0,0,0,1,0,0,1
283.0,-1.386198209953846,-0.5961543495748657,3200,2120,1410,2.0,7,3,1,1,1,1,0,0,1,0,0,1
368.0,-0.742784415074787,-1.3024996135581,2295,2718,1728,2.0,7,3,2,1,1,1,0,0,1,1,0,0
297.8,-0.6767166967720177,0.8391166587813799,7442,2438,1204,1.0,6,3,1,0,1,1,0,1,0,1,0,0
239.9,-1.400377040797776,-0.7483110883888576,2800,2364,1306,1.5,7,3,1,0,1,0,0,1,0,1,0,0
293.7,-1.166474187150829,0.7112326983564932,6548,2164,1082,1.0,5,2,1,0,1,1,0,1,0,1,0,0
412.4,0.026704466450575413,-0.129863531807489,6000,2991,1680,2.0,6,3,1,1,1,1,0,0,1,1,0,0
382.0,-0.1910083602756702,0.5206054009736126,7300,2524,1590,2.0,7,4,1,1,1,0,0,0,1,1,0,0
275.0,-1.0052933661263426,-0.328735449690686,4294,2295,1470,2.0,7,3,1,1,1,1,0,0,1,1,0,0
318.2,0.22058359457978527,0.6267268739978474,8001,3228,1408,1.0,5,2,1,0,1,0,0,1,0,1,0,0
266.3,-1.2330571581633762,0.5525752284071238,6089,2180,1082,1.0,5,3,1,0,1,0,0,1,0,1,0,0
282.2,-0.5327487166416858,-0.5214887308298277,4392,2773,1568,2.0,7,3,1,0,1,0,0,1,0,1,0,0
325.2,0.341570797819445,-0.34379575594590694,5950,2448,2293,1.0,8,3,1,1,2,0,0,0,1,1,0,0
287.8,-1.3482497931425184,0.890706120420678,6750,2060,960,1.0,6,3,1,0,1,1,0,1,0,1,0,0
354.2,-0.047496963902466154,-0.09220267624531589,6000,2936,1650,2.0,8,3,2,0,1,0,0,1,0,1,0,0
289.5,-1.3144153690921903,-0.15350901517329704,4335,2087,1326,2.0,7,3,1,1,1,1,0,0,1,0,0,1
186.3,-1.8606578631781865,0.11917128451447072,4300,1926,960,1.0,5,2,1,0,1,1,0,1,0,1,0,0
398.1,0.3140260654193908,0.25847819801237265,7287,2892,1800,2.0,6,3,2,0,1,0,0,0,1,1,0,0
283.5,-1.8966787528950158,0.3559021355617303,4824,1795,933,1.5,7,3,2,0,1,0,0,1,0,1,0,0
254.5,-1.3991808772284962,0.21951328925346314,5095,2184,1082,1.0,5,3,1,0,1,1,0,1,0,1,0,0
303.9,-1.2761317312714875,0.5262559705017662,6000,1904,1228,2.0,6,3,1,1,1,0,0,1,0,1,0,0
262.1,-2.310902455816306,-0.5791984638839307,2100,1800,972,1.5,6,3,1,1,1,0,1,0,0,0,1,0
273.1,-1.3802335343028689,1.121122476843704,7258,1992,900,1.0,5,2,1,0,1,1,0,1,0,1,0,0
210.9,-1.8469830868440529,0.1088415298855061,4281,2047,900,1.0,5,2,1,0,1,0,0,1,0,1,0,0
272.4,-1.3495771722038175,-0.08631328475558606,4416,2413,1083,1.0,8,3,1,1,1,1,0,1,0,1,0,0
279.6,-0.6331334715866128,0.21076600395294884,6026,2376,1487,1.0,9,3,1,1,1,0,0,1,0,1,0,0
348.9,-0.0284920351884773,-0.4137041947804325,5300,2616,1966,1.0,8,3,1,1,1,0,0,0,1,1,0,0
325.2,-0.4824100292810532,0.45159784646012985,6750,2710,1305,1.5,6,3,1,1,1,1,0,1,0,1,0,0
323.0,-1.207183802820962,-1.1480273626178064,2100,2414,1544,2.5,6,3,1,0,1,0,1,0,0,0,1,0
337.3,0.3261240514658542,0.016499552487259494,6730,2926,1871,2.0,7,3,2,1,1,0,0,0,1,0,0,1
182.7,-2.786247669372901,-0.5441541613987148,1616,1439,856,2.0,5,2,1,0,1,0,0,1,0,1,0,0
285.8,-0.46792539670496175,-0.2383251033588227,5144,2732,1539,1.5,6,3,1,1,1,0,0,0,1,1,0,0
259.0,-0.22572912557181052,-0.760608037640029,4200,2962,1744,2.0,6,3,1,0,1,0,1,0,0,1,0,0
331.1,-0.5808388270493208,-0.12930850718021678,5307,2232,1726,1.0,8,4,1,1,2,0,0,1,0,1,0,0
329.2,-1.006163337403494,0.2504703179279415,5663,2212,1320,2.0,7,3,1,1,1,0,0,0,1,1,0,0
239.3,-1.474241343483692,-0.45568830506316554,3420,2107,1310,2.0,6,3,1,0,1,0,0,1,0,1,0,0
272.0,-1.6274904662191305,0.7476726705405875,6073,1928,900,1.0,5,2,1,0,1,1,0,1,0,1,0,0
207.9,-2.040379865922574,-0.3462120685184953,2968,2027,938,1.5,5,2,1,0,1,0,0,1,0,1,0,0
294.4,-1.1901567989428672,0.8121089438825762,6750,2216,1000,1.0,5,2,1,1,1,1,0,1,0,1,0,0
312.5,0.34375532989959295,-0.2735610489756703,6099,2638,2156,1.0,6,3,2,0,1,0,0,1,0,1,0,0
401.7,0.8380929911213687,0.31428524410099046,8056,3156,1976,2.0,8,4,2,1,1,1,0,0,1,1,0,0
288.5,-1.169630690035444,-0.7247368607461258,3150,2342,1467,2.0,7,4,1,1,1,0,1,0,0,1,0,0
305.4,-0.8912576910450911,0.4520008552752458,6291,2126,1380,2.0,6,3,1,1,1,0,0,1,0,1,0,0
