TOTAL_VALUE,PCA1,PCA2,LOT_SQFT,GROSS_AREA,LIVING_AREA,FLOORS,ROOMS,BEDROOMS,FULL_BATH,HALF_BATH,KITCHEN,FIREPLACE,YR_BUILT_Encoded,REMODEL_Unknown,REMODEL_Recent,REMODEL_Old
358.3,-0.289219485,0.078373155,6138,2500,1690,2,7,3,1,1,1,0,3,1,0,0
346.2,0.4687530533920637,1.8579023729591384,11250,2830,1391,1.5,6,3,1,0,1,0,2,0,0,1
490.7,1.8822418318578662,-1.217764515,5683,4100,2640,2,6,3,1,1,1,1,4,0,1,0
371.9,-0.49205344,0.5471020464896483,7001,2320,1500,2,7,3,2,1,1,1,4,1,0,0
325.3,-0.602017281,-0.353464372,4717,2592,1572,2,7,3,1,1,1,0,3,1,0,0
340.5,-0.406843896,1.1360443659429644,8489,2368,1326,1.5,6,3,1,1,1,1,3,1,0,0
432.5,-0.45427632,0.5862778486463416,7139,2340,1500,2,7,3,2,1,1,0,4,1,0,0
334.7,0.015286361766996435,-0.713260355,4584,3288,1694,2,7,3,1,1,1,0,3,1,0,0
314.3,-0.149482356,0.46191178521799237,7193,2740,1508,2,7,3,1,0,1,0,2,1,0,0
405.5,-0.875707395,-0.57426514,3867,2431,1560,2,7,3,2,1,1,1,4,1,0,0
326,-1.354662006,-0.162564713,4262,2090,1300,2,7,3,1,1,1,1,4,1,0,0
285.6,-0.405272853,-0.181093915,5325,3060,1364,1,5,2,1,0,1,1,3,1,0,0
345.9,-0.127659246,0.7848882493285223,8005,2490,1562,2,7,3,1,1,1,1,2,1,0,0
317.3,-0.544328233,0.6730583949242016,7234,2289,1440,2,7,3,1,0,1,0,3,1,0,0
277.8,-1.432386782,0.5987645640662421,5959,2036,1018,1,5,3,1,1,1,1,3,1,0,0
306.8,-1.076379486,1.183540422920306,7785,2038,1056,1.5,6,3,1,0,1,0,2,1,0,0
265.7,-1.483648258,-0.240907211,3887,2364,1075,1,6,3,2,0,1,1,3,0,0,1
356.8,-0.003804823,-0.17973555,5906,2368,2051,1,8,4,1,1,1,2,4,1,0,0
299.9,-0.787798974,0.003999293,5401,1800,1800,2,6,3,1,1,1,1,4,1,0,0
287.8,-1.161306297,-0.729042862,3204,1800,1800,2,6,3,1,1,1,1,4,1,0,0
296,-1.204998324,-0.814792445,2947,1800,1800,2,6,3,1,1,1,1,4,1,0,0
300.6,-0.98500812,-0.383041626,4241,1800,1800,2,6,3,1,1,1,1,4,1,0,0
566.3,2.6050542101684804,-0.50377682,8249,4390,2708,2,8,4,2,1,1,1,4,1,0,0
286,-0.096231354,0.6412681043207797,7655,3013,1318,1.5,7,3,1,0,1,0,3,1,0,0
351.2,-0.170644538,1.6455810416087278,10000,2232,1392,2,7,3,1,1,1,0,2,1,0,0
365.1,0.22899071503169627,-0.623724885,5058,3362,1763,2,8,4,2,0,1,0,3,0,1,0
330,-0.506632902,0.2833247967745846,6330,2644,1386,1.5,6,3,1,0,1,0,3,1,0,0
354.1,-0.790165421,-0.144897002,4984,2441,1464,2,7,3,1,1,1,1,3,0,1,0
335.8,-0.406089824,0.1197955644059296,6111,2262,1740,1,7,3,1,1,1,1,4,1,0,0
345,0.5518788344478565,5.488797974596098,20000,1754,845,1.5,6,3,1,0,1,0,2,1,0,0
356.4,0.5255897599414678,-0.393614219,5967,3442,1836,2,8,3,2,0,1,0,3,0,0,1
379,1.8815254460688047,-0.266224006,7940,3894,2436,2,8,4,2,0,1,1,2,1,0,0
352.1,-0.937607087,0.35680129,6003,2178,1350,2,7,3,2,0,1,0,4,1,0,0
437.3,-0.062666216,0.3282861139214067,7000,2628,1680,2,6,3,2,1,1,0,4,1,0,0
404.2,0.8673085497518686,-0.767193588,5488,3780,1992,1.5,8,4,2,1,1,1,3,0,1,0
283.4,-0.32714171,-0.45466212,4774,3128,1470,1,5,2,1,0,1,1,3,1,0,0
326.4,-0.715539689,0.2668989318242163,6029,2620,1265,1.5,6,3,1,1,1,0,3,1,0,0
309.2,-1.197554883,0.097388749,5057,2244,1224,1.5,7,3,2,0,1,0,3,1,0,0
332.9,-0.612841737,0.058199915,5682,2484,1488,2,7,3,1,1,1,0,3,1,0,0
260.4,-1.160564113,-0.439566999,3819,2468,1299,1.5,6,3,1,0,1,0,3,1,0,0
339.3,-0.850999598,0.17211590085521303,5651,2454,1306,1.5,6,3,2,1,1,1,3,0,1,0
307.9,-1.156784468,0.046259712,5005,2078,1369,2,6,3,1,0,1,0,3,0,0,1
346.3,0.002105525,0.7818603426389464,8145,2664,1546,1.5,6,3,1,0,1,1,3,0,1,0
479.1,0.8414440303078381,0.9783143216385763,9642,2952,1872,2,7,4,2,1,1,1,4,1,0,0
335.6,-0.59390487,0.39372958497130717,6475,2684,1265,1.5,6,3,1,1,1,0,3,1,0,0
261.5,-2.383984897,0.3317736437657051,4175,1536,768,1,4,2,1,0,1,0,3,1,0,0
355.1,-0.848626735,0.072397709,5400,2650,1224,1.5,7,3,2,0,1,1,3,0,1,0
356.8,-0.378926296,-0.34834749,5005,2660,1680,2,6,3,2,1,1,1,4,1,0,0
287.3,-0.801991975,-0.846126557,3288,2764,1503,1.5,7,3,2,1,1,1,3,1,0,0
331.9,-0.930228115,0.11154941865111226,5400,2536,1224,1.5,6,3,1,0,1,1,3,1,0,0
387.1,1.3909512267882844,0.1282499165181225,8238,3972,1922,1,9,4,2,0,1,1,4,1,0,0
307.6,-0.885190871,-0.043589848,5092,2539,1306,1.5,6,3,2,0,1,0,3,0,0,1
360.9,-0.699362147,-0.01407914,5400,2508,1440,2,6,3,3,0,1,0,3,0,1,0
466.1,0.7271987314645403,0.7540975132085943,8970,2952,1872,2,7,4,2,1,1,1,4,1,0,0
340,-0.626250254,-0.044754442,5400,2714,1376,1.5,6,3,1,0,1,1,3,0,1,0
303.9,-0.309739281,0.9709680700955226,8200,2608,1304,1,6,2,2,0,1,1,3,0,1,0
303.5,-0.473776237,-0.639158898,4200,2670,1710,2,10,4,1,1,1,1,4,1,0,0
301.4,-0.211806073,0.18315033242949275,6444,2886,1474,1.5,6,3,1,1,1,1,3,1,0,0
339.9,-0.123855147,-0.447470275,5035,3264,1523,1,6,2,1,0,1,0,3,0,1,0
281.3,-0.664771298,-0.64167079,3960,2590,1630,2,8,4,2,1,1,1,3,1,0,0
530.1,1.586038124714023,-0.830433309,6227,4013,2359,2,8,4,2,1,1,0,4,1,0,0
310.4,-0.910011227,-0.859650359,3150,2456,1620,2,7,4,1,1,1,1,3,0,0,1
344.6,1.9326655729044562,-0.177004187,8151,4532,2056,1,5,2,1,2,1,1,4,1,0,0
525.1,1.8274100949544179,-0.943073011,6257,4124,2494,2,9,4,2,0,1,1,4,1,0,0
285.3,-0.884582781,-0.072116866,5024,2556,1306,1.5,6,3,2,0,1,0,3,1,0,0
302.3,-1.174522729,-0.27831567,4200,2272,1352,2,8,3,1,0,1,1,3,0,1,0
243.3,-1.113701768,-0.748161165,3150,2496,1420,1.5,4,2,1,0,1,1,4,1,0,0
334.9,0.43640008410081776,-0.337296625,6012,3185,1911,2,7,3,1,1,1,0,3,1,0,0
327.5,0.3674734487805531,-0.317542416,5968,3216,1839,2,7,3,1,1,1,0,3,1,0,0
586.6,3.0777321593444773,-0.468945992,8890,4791,2774,2,9,4,3,1,1,1,4,1,0,0
347.3,0.9818022968193298,-0.046077186,7355,3516,1980,2,7,3,1,1,1,0,3,1,0,0
267.6,-2.577612624,0.791776733,5077,876,876,1,5,2,1,0,1,0,3,1,0,0
274.2,-0.810733034,-0.700645409,3617,2784,1435,1.5,5,2,1,1,1,1,3,1,0,0
404.6,0.4906712289163091,-0.268632832,6253,3077,1989,1,6,4,3,0,1,1,4,0,1,0
339.9,-0.888350274,0.4375698366409654,6300,1730,1625,1,7,4,1,1,1,1,4,1,0,0
420.8,2.599294764863985,-0.674504609,7861,4182,2888,1,12,4,2,1,1,0,4,1,0,0
283.5,-0.866576668,-0.435147437,4200,2488,1484,2,6,3,1,1,1,0,3,1,0,0
620.3,4.287222272896796,-2.189600121,6255,6016,3446,2,10,4,3,1,1,2,4,1,0,0
346.3,-1.088221775,-0.368108209,4050,2756,1150,1,6,3,1,1,1,1,3,0,1,0
295.07,-1.169815528,0.096780561,5131,1840,1486,1.5,6,4,2,0,1,0,3,0,0,1
297.6,-0.558626233,-0.833892893,3628,2736,1680,2,7,3,1,1,1,1,4,1,0,0
310.7,-0.135592561,-0.0786409,6001,2124,2074,1,10,4,2,0,2,2,4,1,0,0
442.6,1.2160551859791031,-1.240146005,4800,3960,2282,2,6,3,2,1,1,1,4,1,0,0
277.5,-1.710040573,-0.060407536,4050,2108,1014,1,6,3,1,1,1,1,3,1,0,0
310.6,-0.823255443,-0.684539113,3639,2784,1421,1.5,7,3,1,1,1,1,3,0,0,1
327.1,-0.444319861,0.43264745331711485,6754,2705,1340,1,6,3,1,0,1,1,4,1,0,0
307.5,-1.495824307,-0.999431379,2100,2244,1400,2,6,3,1,1,1,1,4,1,0,0
243.3,-1.275087776,-0.214103679,4200,2508,1120,1,6,3,1,1,1,1,3,1,0,0
352.8,-0.538200844,0.13158989736786772,6001,1964,1826,1,8,3,1,1,1,1,4,0,1,0
258.6,-1.336398869,0.3412477005247182,5460,2188,1080,1,6,2,1,0,1,1,3,1,0,0
295.5,-0.930310949,-0.460178262,4050,2592,1387,1.5,6,3,1,1,1,1,4,1,0,0
490.7,1.9474659986013656,-1.10206331,6011,4368,2483,2,9,3,2,1,1,1,4,1,0,0
330.3,-0.631508511,0.3341260142728862,6317,2385,1440,2,6,3,1,1,1,0,4,1,0,0
290.8,-0.440104557,0.4653953091897249,6850,2568,1414,1.5,6,2,1,1,1,1,4,1,0,0
350.7,1.3554185866707424,0.7305107508650479,9600,4063,1636,1,9,3,2,0,2,0,3,1,0,0
301.1,-0.593463132,0.16663312462902052,6000,2098,1696,1,7,5,1,1,1,2,4,1,0,0
278.7,-0.553546099,0.3179054300444878,6400,2161,1633,1,8,4,2,0,1,1,4,0,0,1
298.2,-0.864424273,0.26318763091240305,5824,2696,1120,1,6,3,1,0,1,0,3,1,0,0
249,-1.809227138,0.05125388,4200,1976,988,1,5,2,1,0,1,1,3,1,0,0
287.5,-0.316491431,0.027896227483961117,6000,2347,1781,1,8,4,1,1,1,0,4,1,0,0
434.3,2.1425629466191936,1.8551768974451082,13267,3813,1931,1.5,6,2,1,1,1,1,4,0,1,0
508.8,1.1318149243458744,-1.578081934,3911,3836,2416,2,7,4,3,1,1,1,4,1,0,0
338.8,-0.187775469,1.8776014516042288,10537,2100,1380,2,7,3,1,1,1,1,3,1,0,0
363.5,0.5631249932161333,0.1979372837360621,7468,2815,2035,2,10,4,2,1,1,0,4,0,1,0
335.3,1.4734144181068627,-0.721969968,6400,3404,2612,1,7,4,1,1,1,1,4,0,0,1
353.5,0.7044168522412282,2.3084129017014554,12600,2910,1347,1,6,3,1,1,1,1,3,1,0,0
291.5,-0.220692038,-0.035061244,6000,2080,2028,1,8,4,1,1,1,0,4,1,0,0
325.8,-0.29590572,-0.430333878,4900,2835,1659,2,8,4,2,0,1,1,4,1,0,0
368.2,0.3844595608927346,0.19756032209245764,7200,3223,1669,2,7,3,1,1,1,0,2,0,1,0
361.7,-0.407367828,0.084638868,6000,2530,1590,2,7,4,2,0,1,0,4,1,0,0
286.3,-0.352997312,0.045411466,6000,2296,1781,1,8,4,1,1,1,0,4,1,0,0
315.7,-0.52706144,0.3051982961888726,6400,2198,1633,1,8,3,1,1,1,1,4,0,0,1
282.4,-1.430502012,1.3579501401182386,7770,1800,900,1,5,2,1,0,1,1,3,1,0,0
337.5,-0.909357581,0.32135967984494873,5914,2594,1131,1,6,3,1,0,1,0,3,1,0,0
320.1,-0.062989552,-0.391499765,5290,2800,1824,2,7,4,2,0,1,0,3,0,1,0
272.9,-1.042049533,-0.928555904,2800,2663,1430,2,6,3,1,1,1,0,3,1,0,0
243.2,-2.16314407,0.511364849,4868,1628,800,1,5,2,1,0,1,1,3,1,0,0
305,-0.614212381,0.8046655306410289,7448,2358,1306,1.5,8,3,2,0,1,1,4,1,0,0
277.7,-1.428746285,-0.734490569,2800,2324,1306,1.5,7,3,2,0,1,1,3,1,0,0
316.9,-1.277988993,-0.115375237,4449,2302,1208,1.5,6,3,1,2,1,0,3,0,1,0
297.1,0.012439354125208827,-0.14478307,6000,2456,1997,1,7,3,1,1,1,0,4,1,0,0
467,1.1020037393590987,-1.180196185,4800,3924,2206,2,9,4,2,2,1,1,4,1,0,0
302.4,-1.314812234,1.1654190196563783,7440,2040,900,1,6,3,1,0,1,0,3,1,0,0
253.2,-0.947067093,-0.390955934,4200,2507,1403,1.5,6,2,2,0,1,1,3,1,0,0
375.1,-0.521896082,0.13958863651327932,6000,2370,1590,2,7,4,2,1,1,0,4,1,0,0
242.9,-1.449684393,-0.159486006,4151,2068,1248,2,7,3,1,0,1,0,3,1,0,0
307.1,-0.079559924,-0.101468133,6000,2308,2009,1,9,3,2,0,1,0,4,1,0,0
274.1,-1.29350689,0.8746839551464676,6781,2064,1000,1,5,2,1,0,1,1,3,1,0,0
237,-2.43167169,-0.067528088,3200,1292,1020,2,6,3,1,0,1,0,3,0,0,1
253,-0.878130563,0.465002622,6300,2507,1155,1,6,3,1,0,1,1,4,1,0,0
299.4,-1.211321508,0.5389533231714476,6081,2212,1082,1,5,3,1,1,1,1,4,1,0,0
286.9,-1.413820485,1.4113851513616995,7912,1848,864,1,6,3,1,0,1,1,3,1,0,0
327.5,-0.453179129,0.10661877569871026,6000,2466,1590,2,7,3,1,1,1,0,4,1,0,0
367.5,-0.209559093,-0.483539279,4895,2728,1800,2,7,4,2,1,1,1,4,1,0,0
308,-0.618854446,-0.153185577,5160,2658,1452,2,7,3,2,0,1,0,3,1,0,0
516.7,2.2605492,-1.264688901,6000,4623,2597,2,11,4,2,1,1,1,4,1,0,0
348.7,0.14037169684693993,0.21201882552416706,7000,2467,1954,1,9,4,2,0,1,1,4,1,0,0
367.1,-0.939066881,0.6768935728228189,6750,2216,1216,1,8,3,2,0,2,1,3,1,0,0
299.4,0.10255264585673075,-1.043271567,3900,3475,1754,2,7,3,2,1,1,0,3,0,0,1
296.5,-1.018719457,1.0008689667543662,7416,2164,1082,1,6,2,1,1,1,0,4,1,0,0
360,-0.286411099,-0.592410058,4544,2704,1800,2,6,3,2,1,1,1,4,1,0,0
325.9,-0.710588033,-0.810829115,3500,2632,1632,2,6,3,2,0,1,1,4,0,0,1
360.8,-0.453179129,0.10661877569871026,6000,2466,1590,2,7,4,1,1,1,0,4,0,0,1
283,-1.3859589,-0.59608508,3200,2120,1410,2,7,3,1,1,1,1,4,0,0,1
368,-0.742373748,-1.302528838,2295,2718,1728,2,7,3,2,1,1,1,4,1,0,0
297.8,-0.676452829,0.8390542956280597,7442,2438,1204,1,6,3,1,0,1,1,3,1,0,0
239.9,-1.400114222,-0.748228011,2800,2364,1306,1.5,7,3,1,0,1,0,3,1,0,0
293.7,-1.166286301,0.7112555891989727,6548,2164,1082,1,5,2,1,0,1,1,4,1,0,0
412.4,0.027161874285077298,-0.130037137,6000,2991,1680,2,6,3,1,1,1,1,4,1,0,0
382,-0.190652387,0.5204522391931472,7300,2524,1590,2,7,4,1,1,1,0,4,1,0,0
275,-1.005008215,-0.328734754,4294,2295,1470,2,7,3,1,1,1,1,4,1,0,0
318.2,0.22103388643444222,0.6265223308241111,8001,3228,1408,1,5,2,1,0,1,0,3,1,0,0
266.3,-1.232867095,0.5526125244957085,6089,2180,1082,1,5,3,1,0,1,0,4,1,0,0
282.2,-0.532356209,-0.521559953,4392,2773,1568,2,7,3,1,0,1,0,3,1,0,0
325.2,0.34205000132852603,-0.344053802,5950,2448,2293,1,8,3,1,1,2,0,4,1,0,0
287.8,-1.348104862,0.8907596918025095,6750,2060,960,1,6,3,1,0,1,1,3,1,0,0
354.2,-0.047055603,-0.092364159,6000,2936,1650,2,8,3,2,0,1,0,3,1,0,0
289.5,-1.314196896,-0.153456982,4335,2087,1326,2,7,3,1,1,1,1,4,0,0,1
186.3,-1.860541593,0.11932300845520259,4300,1926,960,1,5,2,1,0,1,1,3,1,0,0
398.1,0.31449122813449704,0.2582422765105975,7287,2892,1800,2,6,3,2,0,1,0,4,1,0,0
283.5,-1.89659102,0.35605445261956703,4824,1795,933,1.5,7,3,2,0,1,0,3,1,0,0
254.5,-1.398991727,0.2195847511590863,5095,2184,1082,1,5,3,1,0,1,1,4,1,0,0
303.9,-1.275963533,0.5262900485655537,6000,1904,1228,2,6,3,1,1,1,0,3,1,0,0
262.1,-2.310810584,-0.57896077,2100,1800,972,1.5,6,3,1,1,1,0,2,0,1,0
273.1,-1.380112145,1.1211785644472092,7258,1992,900,1,5,2,1,0,1,1,3,1,0,0
210.9,-1.846856532,0.1089957741054448,4281,2047,900,1,5,2,1,0,1,0,3,1,0,0
272.4,-1.349346905,-0.086240638,4416,2413,1083,1,8,3,1,1,1,1,3,1,0,0
279.6,-0.632827208,0.21069479327336177,6026,2376,1487,1,9,3,1,1,1,0,4,1,0,0
348.9,-0.028047916,-0.413881885,5300,2616,1966,1,8,3,1,1,1,0,4,1,0,0
325.2,-0.48207734,0.45151031065376523,6750,2710,1305,1.5,6,3,1,1,1,1,3,1,0,0
323,-1.206865763,-1.147978686,2100,2414,1544,2.5,6,3,1,0,1,0,2,0,1,0
337.3,0.32660861443450634,0.016263622,6730,2926,1871,2,7,3,2,1,1,0,4,0,0,1
182.7,-2.786245883,-0.543838394,1616,1439,856,2,5,2,1,0,1,0,3,1,0,0
285.8,-0.467544922,-0.238411927,5144,2732,1539,1.5,6,3,1,1,1,0,4,1,0,0
259,-0.225267332,-0.760730752,4200,2962,1744,2,6,3,1,0,1,0,2,1,0,0
331.1,-0.580512794,-0.129394885,5307,2232,1726,1,8,4,1,1,2,0,4,1,0,0
329.2,-1.005920905,0.25046543199220145,5663,2212,1320,2,7,3,1,1,1,0,4,1,0,0
239.3,-1.474023888,-0.45560278,3420,2107,1310,2,6,3,1,0,1,0,3,1,0,0
272,-1.627382791,0.7477761532201231,6073,1928,900,1,5,2,1,0,1,1,3,1,0,0
207.9,-2.040251622,-0.346018848,2968,2027,938,1.5,5,2,1,0,1,0,3,1,0,0
294.4,-1.189975294,0.8121383406107072,6750,2216,1000,1,5,2,1,1,1,1,3,1,0,0
312.5,0.34424249344406715,-0.273811667,6099,2638,2156,1,6,3,2,0,1,0,4,1,0,0
401.7,0.8386428018119637,0.3139571558785339,8056,3156,1976,2,8,4,2,1,1,1,4,1,0,0
288.5,-1.1693394,-0.724700272,3150,2342,1467,2,7,4,1,1,1,0,2,1,0,0
305.4,-0.891018108,0.4519688872263187,6291,2126,1380,2,6,3,1,1,1,0,4,1,0,0
283.9,-0.637984452,-0.549502628,4200,2697,1552,2,7,3,1,0,1,0,3,1,0,0
272.2,-0.587357193,-0.025384442,5507,2592,1469,1.5,7,2,2,0,1,0,4,1,0,0
271.3,-0.848311615,0.2073698623239133,5769,2136,1487,1,6,2,1,1,1,0,4,1,0,0
300.2,-0.273446662,0.21306901026234604,6444,2808,1469,1.5,6,2,2,0,1,0,3,1,0,0
279.8,-0.71175749,0.5533115485070702,6720,2492,1246,1,6,3,1,0,1,1,4,1,0,0
509.4,6.497671864324171,4.457243977132633,24677,6100,2601,1.5,8,5,3,0,1,0,4,0,1,0
298.9,-0.978135466,0.8689797880744363,7133,2408,1008,1,6,3,1,0,1,1,3,1,0,0
325,-1.348792737,-0.334802001,3850,2235,1276,2,8,3,1,1,1,0,3,0,0,1
356,-0.735754199,0.580446528,6750,2526,1200,1,7,3,1,0,1,1,3,0,1,0
241.3,-1.713765411,-0.351386068,3360,2119,1105,1.5,6,2,1,1,1,0,3,1,0,0
314.3,-0.671066079,0.6860911928682848,7109,2239,1380,2,8,3,1,1,1,0,4,1,0,0
366.3,0.544699168,-0.262934007,6327,3156,1976,2,7,4,2,1,1,1,4,1,0,0
323.1,0.25817816207366145,-0.403972939,5643,3048,1896,2,8,4,1,1,1,0,4,1,0,0
286.9,-0.465999292,0.13936449701852502,6044,2634,1469,1.5,5,2,1,0,1,0,3,1,0,0
293.2,-0.922756129,0.9582471362921045,7408,2459,984,1,5,2,1,1,1,1,3,1,0,0
293.8,-0.468604067,0.053832342,5835,2680,1469,1.5,6,3,1,1,1,0,4,1,0,0
167.6,-2.872095274,-0.340085985,1980,1502,690,1,3,1,1,0,1,0,2,1,0,0
253.3,-1.466409588,-0.469482112,3402,2057,1350,2,6,3,1,1,1,0,3,1,0,0
269.3,-1.792753616,-0.113261782,3850,1816,1152,2,6,2,1,0,1,0,3,1,0,0
310.2,-0.580411162,0.6814818940538818,7200,2370,1364,2,5,2,1,1,1,0,3,1,0,0
217.9,-1.797094009,-0.304732027,3360,2160,1008,1,6,3,1,0,1,1,3,1,0,0
395,-0.384716228,-0.642314969,4291,2815,1684,2,6,3,1,1,1,0,4,1,0,0
298.5,-0.858832762,0.5291216558059346,6514,2118,1380,2,8,3,1,1,1,0,4,1,0,0
561.8,2.233732118988469,0.2544162100279716,9604,3960,2455,2,8,4,2,1,1,1,4,1,0,0
220,-1.79265921,-0.37486601,3205,2117,1061,1.5,6,3,1,0,1,0,3,1,0,0
334.4,0.0374393,0.5502219039789802,7622,2896,1510,1.5,6,3,1,1,1,1,3,1,0,0
331.2,-0.077954477,0.6806568052489993,7796,2760,1469,1.5,7,3,2,0,1,0,4,1,0,0
311.9,-0.941453281,0.6832673688040497,6750,2336,1140,1,7,2,2,0,1,2,3,1,0,0
286.3,-1.644236757,-0.270094017,3628,2232,1056,1,5,2,1,0,1,1,3,0,1,0
311.9,0.058217152,2.890039856836361,13209,2304,1075,1,6,3,1,1,1,1,3,1,0,0
144.6,-3.061122805,-0.656614796,1017,1293,797,1.5,5,2,1,0,1,0,3,1,0,0
292.5,-0.534700563,-0.011202364,5602,2643,1469,1.5,6,2,1,1,1,0,4,1,0,0
233.7,-1.618859415,-0.390247604,3360,2409,1008,1,6,3,2,1,1,1,3,1,0,0
287.8,-0.545730313,0.1416672802001932,6000,2116,1726,1,6,4,2,0,2,0,4,1,0,0
309.5,-0.520220907,0.12340948245324364,5958,2431,1560,2,6,3,1,1,1,0,4,1,0,0
278.4,-1.81020806,0.11633043286781185,4343,2064,912,1,6,3,2,0,1,1,4,1,0,0
222.4,-1.739482722,-0.141297553,3850,1832,1188,2,5,2,1,1,1,0,3,1,0,0
319.9,0.19462102662834035,0.011221619282933254,6539,3045,1712,1.5,8,1,1,0,1,1,3,0,1,0
306.5,-1.38408463,0.6014710814515352,6021,2092,1016,1,6,3,2,0,1,1,4,1,0,0
240.9,-2.148867577,0.021802412373255232,3728,1698,936,1.5,6,3,1,0,1,0,3,1,0,0
270.7,-0.819913724,-0.120852897,5013,2339,1497,2,6,3,1,0,1,0,2,1,0,0
314.2,-0.825028345,-0.767307504,3486,2344,1713,1,8,4,2,0,1,1,4,1,0,0
306.5,-1.520718792,0.6616097924462414,6000,1984,968,1,6,3,2,0,2,1,4,1,0,0
402.5,1.141383197711789,-0.719924535,5981,3434,2369,2,9,4,2,0,1,1,3,0,1,0
